dataset,image_name,class_name,count,avg_confidence
baseline,001.jpg,_no_detections_,0,0.0
baseline,002.jpg,grozi_25,1,0.2719
baseline,003.jpg,_no_detections_,0,0.0
baseline,004.jpg,_no_detections_,0,0.0
baseline,005.jpg,_no_detections_,0,0.0
baseline,006.jpg,grozi_17,1,0.2625
baseline,007.jpg,grozi_101,1,0.3561
baseline,008.jpg,grozi_19,1,0.5714
baseline,009.jpg,grozi_22,1,0.6993
baseline,010.jpg,_no_detections_,0,0.0
baseline,011.jpg,_no_detections_,0,0.0
baseline,012.jpg,grozi_66,1,0.2885
baseline,013.jpg,grozi_22,1,0.3007
baseline,014.jpg,grozi_33,1,0.5783
baseline,015.jpg,grozi_58,1,0.4574
baseline,015.jpg,grozi_22,1,0.3963
baseline,016.jpg,grozi_101,1,0.3088
baseline,017.jpg,_no_detections_,0,0.0
baseline,018.jpg,grozi_101,1,0.4303
baseline,019.jpg,grozi_22,1,0.7777
baseline,020.jpg,_no_detections_,0,0.0
baseline,021.jpg,_no_detections_,0,0.0
baseline,022.jpg,_no_detections_,0,0.0
baseline,023.jpg,grozi_101,1,0.3386
baseline,024.jpg,grozi_101,1,0.3424
baseline,025.jpg,grozi_17,2,0.4002
baseline,025.jpg,grozi_68,1,0.2873
baseline,026.jpg,grozi_22,1,0.2522
baseline,027.jpg,_no_detections_,0,0.0
baseline,028.jpg,_no_detections_,0,0.0
baseline,029.jpg,grozi_101,1,0.3456
baseline,030.jpg,grozi_31,1,0.4047
baseline,031.jpg,grozi_22,1,0.6724
baseline,031.jpg,grozi_101,1,0.2936
baseline,032.jpg,_no_detections_,0,0.0
baseline,033.jpg,grozi_69,1,0.6736
baseline,034.jpg,grozi_101,1,0.3991
baseline,034.jpg,grozi_33,1,0.336
baseline,035.jpg,_no_detections_,0,0.0
baseline,036.jpg,_no_detections_,0,0.0
baseline,037.jpg,grozi_66,1,0.4859
baseline,038.jpg,_no_detections_,0,0.0
baseline,039.jpg,grozi_31,1,0.307
baseline,040.jpg,grozi_106,1,0.2557
baseline,041.jpg,_no_detections_,0,0.0
baseline,042.jpg,_no_detections_,0,0.0
baseline,043.jpg,_no_detections_,0,0.0
baseline,044.jpg,_no_detections_,0,0.0
baseline,045.jpg,grozi_22,1,0.3485
stress_test,001_aug1_light_0.77_-29+noise+perspective.jpg,_no_detections_,0,0.0
stress_test,001_aug2_color_25_21_24+light_0.98_-22+blur_k7.jpg,grozi_31,1,0.2713
stress_test,001_aug3_light_1.09_-13+blur_k3.jpg,_no_detections_,0,0.0
stress_test,002_aug1_perspective.jpg,_no_detections_,0,0.0
stress_test,002_aug2_occlusion2+color_-18_22_-6+light_1.14_39.jpg,grozi_19,1,0.275
stress_test,002_aug3_light_0.87_-4.jpg,_no_detections_,0,0.0
stress_test,003_aug1_blur_k5+perspective.jpg,_no_detections_,0,0.0
stress_test,003_aug2_noise+color_0_29_29.jpg,grozi_101,1,0.3929
stress_test,003_aug3_blur_k3.jpg,_no_detections_,0,0.0
stress_test,004_aug1_occlusion1+perspective.jpg,grozi_22,1,0.4304
stress_test,004_aug2_noise.jpg,_no_detections_,0,0.0
stress_test,004_aug3_noise+color_17_5_3.jpg,grozi_19,1,0.3264
stress_test,005_aug1_blur_k7.jpg,_no_detections_,0,0.0
stress_test,005_aug2_light_1.20_-28+noise.jpg,grozi_69,1,0.4922
stress_test,005_aug3_occlusion2+color_26_-13_23+light_1.22_20.jpg,grozi_31,1,0.4402
stress_test,005_aug3_occlusion2+color_26_-13_23+light_1.22_20.jpg,grozi_8,1,0.3064
stress_test,006_aug1_perspective+light_1.13_1+noise.jpg,_no_detections_,0,0.0
stress_test,006_aug2_perspective+color_18_0_11+blur_k3.jpg,grozi_69,1,0.3866
stress_test,006_aug3_perspective.jpg,grozi_17,1,0.2647
stress_test,007_aug1_occlusion1+light_0.79_30+blur_k5.jpg,_no_detections_,0,0.0
stress_test,007_aug2_color_28_26_24.jpg,grozi_101,1,0.3059
stress_test,007_aug3_noise.jpg,grozi_101,1,0.4073
stress_test,008_aug1_noise+perspective+occlusion3.jpg,grozi_19,1,0.4974
stress_test,008_aug2_perspective.jpg,grozi_19,1,0.5719
stress_test,008_aug3_blur_k5+occlusion1.jpg,grozi_19,1,0.4748
stress_test,009_aug1_occlusion3+noise.jpg,_no_detections_,0,0.0
stress_test,009_aug2_blur_k5+perspective.jpg,grozi_91,1,0.4446
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_22,2,0.5807
stress_test,009_aug3_light_0.72_-1+noise+blur_k5.jpg,grozi_19,1,0.3092
stress_test,010_aug1_blur_k5.jpg,_no_detections_,0,0.0
stress_test,010_aug2_occlusion2.jpg,grozi_25,1,0.3018
